Sample	Fws
PA0514-C	0.5119974
PA0516-C	0.99159104
PA0520-C	0.99497825
PA0521-C	0.4334348
PA0522-C	0.99925935
PA0523-C	0.99844253
PA0524-C	0.6463997
PA0525-C	0.99337894
PA0532-C	0.9923617
PA0534-C	0.42396483
PA0537-C	0.9956148
PA0540-C	0.9976228
PA0541-C	0.61426497
PA0542-C	0.82798886
PA0544-C	0.8460603
PA0550-C	0.9937419
PA0551-C	0.9945726
PA0554-C	0.99473226
PA0558-C	0.9973475
PA0561-C	0.99395555
PA0562-C	0.99636596
PA0563-C	0.99667567
PA0564-C	0.71272993
PA0572-C	0.99459684
PA0575-C	0.9954071
PA0576-C	0.90112394
PA0577-C	0.9991758
PA0586-C	0.99490064
PA0597-C	0.78807384
PA0599-C	0.99924105
PA0604-C	0.8579584
PA0611-C	0.9947066
PA0617-C	0.9937757
PA0618-C	0.9993602
PA0619-C	0.45130432
PA0620-C	0.48732555
PA0621-C	0.9998802
PA0622-C	0.999795
PA0623-C	0.6858769
PA0625-C	0.7218741
PA0626-C	0.99638224
PA0627-C	0.8371073
PA0628-C	0.67863727
PA0629-C	0.64564526
PA0630-C	0.9981045
PA0631-C	0.9036074
PA0633-C	0.9968007
PA0634-C	0.9980557
PA0636-C	0.58047354
PA0637-C	0.70838594
PA0638-C	0.6549509
PA0639-C	0.9973168
PA0641-C	0.6028366
PA0642-C	0.99753475
PA0643-C	0.9961937
PA0645-C	0.8181915
PA0649-C	0.9925007
PA0654-C	0.99416465
PA0655-C	0.99849015
PA0677-CW	0.7107819
PA0699-CW	0.9986581
PA0809-CW	0.6629928
PA0895-CW	0.9977227
PA0899-CW	0.9969199
PA0900-CW	0.8707815
PA0916-CW	0.87614024
PA1029-CW	0.944384
PA1038-CW	0.9940178
PA1048-CW	0.5789412
PA1050-CW	0.9995138
PA1051-CW	0.998267
PA1052-CW	0.97815716
PA1061-CW	0.9980226
PA1062-CW	0.9606094
PA1313-Cw	0.9941197
PA1315-Cw	0.813001
PA1316-Cw	0.9917357
PA1317-Cw	0.9950738
PA1318-Cw	0.99548185
PA1319-Cw	0.8346786
PA1320-Cw	0.79849863
PA1321-Cw	0.881223
PA1323-Cw	0.96066695
PA1324-Cw	0.99640065
PA1326-Cw	0.7659231
PA1328-Cw	0.98692536
PA1330-Cw	0.9886407
PA1331-Cw	0.81694126
PA1332-Cw	0.94636023
PA1333-Cw	0.62814355
PA1336-Cw	0.99742097
PA1337-Cw	0.99447936
PA1338-Cw	0.47351548
PA1339-Cw	0.4266965
PA1340-Cw	0.9943637
PA1349-Cw	0.975663
PA1362-Cw	0.9938367
PA1369-Cw	0.8545999
PA1376-Cw	0.98904574
PA1391-Cw	0.9884027
PA1406-Cw	0.9969833
PA1411-Cw	0.99680257
PA1426-Cw	0.99579525
PA1437-Cw	0.9943663
PA1446-Cw	0.66293144
PA1447-Cw	0.7866617
PA1448-Cw	0.9979785
PA1450-Cw	0.99833107
PA1452-Cw	0.9980756
PA1453-Cw	0.4883649
PA1456-Cw	0.98005986
PC0001-C	0.784422
PC0003-02	0.9995518
PC0004-01	0.9981215
PC0005-Cx	0.9975531
PC0007-C	0.9988634
PC0008-01	0.8995024
PC0009-C	0.997356
PC0011-C	0.9986002
PC0012-C	0.8112681
PC0013-C	0.7929862
PC0019-C	0.9997087
PC0023-C	0.9962757
PC0026-C	0.99875915
PC0030-C	0.7671738
PC0031-C	0.99843735
PC0032-C	0.998372
PC0033-C	0.98189497
PC0044-C	0.997953
PC0046-C	0.99952024
PC0047-C	0.997331
PC0051-C	0.99936897
PC0053-C	0.998371
PC0054-C	0.99996394
PC0057-C	0.997949
PC0058-C	0.93973726
PC0061-C	0.741443
PC0063-C	0.99912775
PC0064-C	0.9573149
