Sample	Fws
PA0089-C	0.99240386
PA0091-C	0.9848238000000001
PA0092-C	0.93844765
PA0093-C	0.99657077
PA0094-C	0.83741343
PA0095-C	0.48996207
PA0097-C	0.98843604
PA0098-C	0.9137824000000001
PA0099-C	0.9992177999999999
PA0100-C	0.98595923
PA0101-C	0.99574167
PA0102-C	0.9800979999999999
PA0103-C	0.9934052999999999
PA0104-C	0.99708796
PA0105-C	0.90635264
PA0134-C	0.9797667999999999
PA0136-C	0.9885325
PA0137-C	0.9807806
PA0138-C	0.23803121
PA0140-C	0.96857065
PA0141-C	0.9874685999999999
PA0144-C	0.9991634
PA0145-C	0.53369987
PA0146-C	0.375985
PA0147-C	0.36778057
PA0148-C	0.9332838
PA0149-C	0.98872966
PA0150-C	0.991482
PA0151-C	0.9969657
PA0152-C	0.99714833
PA0153-C	0.7129871999999999
PA0155-C	0.42351875
PA0156-C	0.9307734000000001
PA0157-C	0.9927914000000001
PA0158-C	0.9910197000000001
PA0159-C	0.9915364999999999
PA0160-C	0.4176025
PA0161-C	0.9918746999999999
PA0162-C	0.78167236
PA0163-C	0.60300297
PA0164-C	0.99420315
PA0165-C	0.994417
PA0167-C	0.9964649999999999
PA0168-C	0.9856296999999998
PA0169-C	0.989477
PA0171-C	0.74184066
PA0172-C	0.9892009
PA0173-C	0.98993874
PA0175-C	0.82286644
PA0176-C	0.9924440999999999
PA0177-C	0.90740967
PA0178-C	0.8273620999999999
PA0179-C	0.6094558000000001
PA0180-C	0.9989011000000001
PA0181-C	0.99162006
PA0182-C	0.9811488000000002
PA0183-C	0.99463993
PA0184-C	0.9461881999999999
PA0185-C	0.8713924000000001
PA0186-C	0.98577356
PA0187-C	0.9923028
PA0188-C	0.92292124
PA0189-C	0.9970190999999999
PA0191-C	0.50072026
PA0192-C	0.6832307
PA0193-C	0.85478973
PA0195-C	0.9900392
PA0196-C	0.9918894
PA0197-C	0.99041575
PA0198-C	0.84671664
PA0199-C	0.91233987
PA0200-C	0.9980539
PA0201-C	0.9970366
PA0202-C	0.9856136999999999
PA0203-C	0.9960329
PA0204-C	0.99006337
PA0205-C	0.98618984
PA0206-C	0.8263427999999999
PA0207-C	0.99704766
PA0208-C	0.9960947
PA0209-C	0.8996708000000001
PA0210-C	0.4291289000000001
PA0211-C	0.99309313
PA0212-C	0.74344814
PA0213-C	0.92850614
PA0214-C	0.8749909
PA0215-C	0.9794586999999999
PA0216-C	0.83610934
PA0217-C	0.6711265000000001
PA0218-C	0.6340339
PA0219-C	0.9898563
PA0220-C	0.5274262
PA0221-C	0.99485135
PA0222-C	0.24812667
PA0223-C	0.98250943
PA0224-C	0.42070168
PA0225-C	0.98584145
